     0.000 D | Testing "C:/Users/haifo/AppData/Roaming/PrismLauncher/qtlogging.ini" ...
     0.000 D | Found "C:/Users/haifo/AppData/Local/Programs/PrismLauncher/data/../qtlogging.ini" ...
     0.000 D | Loading logging rules from: "C:/Users/haifo/AppData/Local/Programs/PrismLauncher/data/../qtlogging.ini"
     0.000 D | Setting log rules:
     0.000 D |      "*.debug=true"
     0.000 D |      "katabasis.*.debug=false"
     0.000 D |      "launcher.auth.credentials.debug=false"
     0.000 D |      "launcher.task=false"
     0.000 D |      "launcher.task.net=true"
     0.000 D |      "launcher.task.net.download.debug=false"
     0.000 D |      "launcher.task.net.metacache=false"
     0.000 D |      "launcher.task.net.metacache.http=true"
     0.000 D |      "launcher.task.net.upload=true"
     0.000 D |      "qt.*.debug=false"
     0.000 D | <> Log initialized.
     0.000 D | <> No migration needed from "PolyMC"
     0.000 D | <> No migration needed from "MultiMC"
     0.000 D | Prism Launcher, � 2022-2024 Prism Launcher Contributors, � 2021-2022 PolyMC Contributors, � 2012-2021 MultiMC Contributors
     0.000 D | Version                    :  "8.4"
     0.000 D | Platform                   :  "official"
     0.000 D | Git commit                 :  ""
     0.000 D | Git refspec                :  "refs/heads/stable"
     0.000 D | Compiled for               :  "Windows 10.0.20348 AMD64"
     0.000 D | Compiled by                :  "MSVC - 19.40.33811.0"
     0.000 D | Build Artifact             :  "Windows-MSVC-Qt6"
     0.000 D | Updates Enabled           :  Yes
     0.000 D | Work dir before adjustment :  "C:/Users/haifo/AppData/Local/Programs/PrismLauncher"
     0.000 D | Work dir after adjustment  :  "C:/Users/haifo/AppData/Roaming/PrismLauncher"
     0.000 D | Adjusted by                :  "Persistent data path"
     0.000 D | Binary path                :  "C:/Users/haifo/AppData/Local/Programs/PrismLauncher"
     0.000 D | Application root path      :  "C:/Users/haifo/AppData/Local/Programs/PrismLauncher"
     0.000 D | <> Paths set.
     0.009 D | Detected default console font: "Courier New" , substitutions: ""
     0.022 D | <> Settings loaded.
     0.023 D | Detecting proxy settings...
     0.023 D | Using no proxy is an option!
     0.023 D | <> Network done.
     0.029 D | Your language is "en_US"
     0.029 D | <> Translations loaded.
     0.030 D | Started watching  "C:/Users/haifo/AppData/Roaming/PrismLauncher/icons"
     0.030 D | Adding  "icons/modrinth_sop.png"
     0.043 D | Sorting icon list...
     0.043 D | <> Instance icons intialized.
     0.043 D | [Theme] <> Initializing Icon Themes
     0.043 D | [Theme] Loaded Built-In Icon Theme "pe_colored"
     0.043 D | [Theme] Loaded Built-In Icon Theme "pe_light"
     0.043 D | [Theme] Loaded Built-In Icon Theme "pe_dark"
     0.043 D | [Theme] Loaded Built-In Icon Theme "pe_blue"
     0.043 D | [Theme] Loaded Built-In Icon Theme "breeze_light"
     0.043 D | [Theme] Loaded Built-In Icon Theme "breeze_dark"
     0.043 D | [Theme] Loaded Built-In Icon Theme "OSX"
     0.043 D | [Theme] Loaded Built-In Icon Theme "iOS"
     0.043 D | [Theme] Loaded Built-In Icon Theme "flat"
     0.043 D | [Theme] Loaded Built-In Icon Theme "flat_white"
     0.043 D | [Theme] Loaded Built-In Icon Theme "multimc"
